What is your age?,What is your favorite coffee drink?,What kind of dairy do you add?,What kind of sugar or sweetener do you add?,"Before today's tasting, which of the following best described what kind of coffee you like?",How strong do you like your coffee?,What roast level of coffee do you prefer?,How much caffeine do you like in your coffee?,Gender,Gender (please specify),Education Level,Ethnicity/Race,Ethnicity/Race (please specify),Employment Status,Number of Children,Political Affiliation
<18 years old,Regular drip coffee,,,Fruity,Somewhat strong,Light,Full caffeine,,,,,,,,
45-54 years old,Regular drip coffee,,,Floral,Medium,Light,Full caffeine,Male,,Master's degree,Other (please specify),Mix,Employed full-time,2,No affiliation
18-24 years old,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
18-24 years old,Pourover,,,Fruity,Somewhat strong,Light,Full caffeine,,,,,,,,
25-34 years old,Cortado,Whole milk,,Fruity,Somewhat strong,Light,Full caffeine,,,,,,,,
18-24 years old,Espresso,Whole milk,Honey,Full Bodied,Medium,Light,Full caffeine,,,,,,,,
>65 years old,Regular drip coffee,,,Full Bodied,Somewhat strong,Dark,,,,,,,,,
25-34 years old,Pourover,,,Floral,Medium,Light,Full caffeine,Male,,Master's degree,Asian/Pacific Islander,,Unemployed,None,Independent
35-44 years old,Iced coffee,,,Fruity,Very strong,Light,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,3,No affiliation
45-54 years old,Pourover,,,Full Bodied,Somewhat strong,Dark,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,3,No affiliation
35-44 years old,Cappuccino,"Skim milk, Oat milk","Granulated Sugar, Brown Sugar",Nutty,Medium,Medium,Full caffeine,,,,,,,,
,,,,,,,,,,,,,,,
35-44 years old,Cappuccino,Whole milk,,Floral,Somewhat strong,Blonde,Full caffeine,Male,,Less than high school,Black/African American,,Unemployed,2,Independent
45-54 years old,Pourover,,,Fruity,Somewhat light,Light,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,More than 3,Republican
35-44 years old,Latte,Half and half,,Nutty,Somewhat strong,Medium,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Democrat
35-44 years old,Latte,"Whole milk, Half and half",Brown Sugar,Chocolatey,Medium,Light,Full caffeine,,,,,,,,
25-34 years old,Cappuccino,Almond milk,,Chocolatey,Medium,Medium,Half caff,,,,,,,,
45-54 years old,Iced coffee,,Granulated Sugar,Sweet,Somewhat strong,Medium,Half caff,Male,,Some college or associate's degree,White/Caucasian,,Employed full-time,None,Democrat
25-34 years old,Cold brew,,,Chocolatey,Somewhat strong,Medium,Full caffeine,,,,,,,,
35-44 years old,Americano,"Oat milk, Soy milk",,Nutty,Medium,Light,Full caffeine,Female,,Bachelor's degree,White/Caucasian,,Employed full-time,1,No affiliation
35-44 years old,Espresso,,,Nutty,Somewhat strong,Medium,Half caff,Male,,Doctorate or professional degree,White/Caucasian,,Employed full-time,2,Independent
25-34 years old,Pourover,,,,,,,,,,,,,,
25-34 years old,Cortado,,,Chocolatey,Somewhat strong,Dark,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,1,Democrat
35-44 years old,Cold brew,,,Nutty,Medium,Light,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Democrat
35-44 years old,Espresso,,,Nutty,Very strong,Medium,Half caff,,,,,,,,
35-44 years old,Iced coffee,"Oat milk, Soy milk",,Full Bodied,,Medium,Full caffeine,,,,,,,,
25-34 years old,,Oat milk,,Chocolatey,Medium,Dark,,,,,,,,,
25-34 years old,Cappuccino,,,Fruity,Somewhat strong,Light,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Democrat
35-44 years old,Espresso,,,Bold,Very strong,Medium,Full caffeine,Male,,Master's degree,White/Caucasian,,Employed full-time,2,No affiliation
45-54 years old,Americano,,,Bold,Somewhat strong,Dark,Half caff,Female,,,,,,,
25-34 years old,Cappuccino,,,Juicy,Somewhat strong,Light,Full caffeine,Male,,Bachelor's degree,Asian/Pacific Islander,,Employed full-time,None,Democrat
45-54 years old,Espresso,Half and half,,Bold,Somewhat strong,Dark,Full caffeine,Male,,Master's degree,Hispanic/Latino,,Employed full-time,3,Independent
25-34 years old,Latte,,Granulated Sugar,Chocolatey,Medium,Medium,Full caffeine,,,,,,,,
35-44 years old,Latte,"Whole milk, Half and half, Flavored coffee creamer","Raw Sugar (Turbinado), Brown Sugar",Sweet,Very strong,Medium,Full caffeine,Male,,Some college or associate's degree,White/Caucasian,,Employed full-time,None,No affiliation
35-44 years old,Cold brew,,,Nutty,Somewhat strong,Dark,Full caffeine,,,,,,,,
25-34 years old,Cappuccino,Skim milk,,Caramalized,Somewhat strong,Medium,Full caffeine,,,,,,,,
25-34 years old,Latte,Whole milk,,Chocolatey,Somewhat strong,Medium,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,2,Democrat
25-34 years old,Iced coffee,Half and half,,Caramalized,Very strong,Light,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Democrat
35-44 years old,Other,Whole milk,,Floral,Somewhat strong,Light,Full caffeine,,,,,,,,
18-24 years old,Cold brew,Flavored coffee creamer,"Granulated Sugar, Artificial Sweeteners (e.g., Splenda)",Sweet,Medium,Light,Full caffeine,,,,,,,,
25-34 years old,Cappuccino,Oat milk,,Fruity,Somewhat strong,Light,Full caffeine,Male,,,,,,,
25-34 years old,Pourover,Half and half,,Nutty,Somewhat strong,Light,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Democrat
45-54 years old,Cappuccino,"Half and half, Whole milk",,Chocolatey,Medium,Medium,Full caffeine,Male,,Master's degree,White/Caucasian,,Employed full-time,2,Democrat
25-34 years old,Pourover,,,Fruity,Very strong,Light,Full caffeine,Male,,Master's degree,White/Caucasian,,Employed full-time,None,Independent
35-44 years old,Cold brew,Oat milk,,Chocolatey,Medium,Medium,Full caffeine,Female,,Bachelor's degree,White/Caucasian,,Unemployed,1,Democrat
18-24 years old,Pourover,Coffee creamer,,Nutty,Somewhat strong,Light,Full caffeine,Male,,,,,,,
35-44 years old,Espresso,,,Fruity,Somewhat strong,Nordic,Full caffeine,Male,,Doctorate or professional degree,White/Caucasian,,Employed full-time,None,Democrat
25-34 years old,Latte,Skim milk,,Chocolatey,Somewhat strong,Medium,Full caffeine,Male,,Master's degree,White/Caucasian,,Employed full-time,None,Democrat
25-34 years old,Americano,,,Full Bodied,Medium,Dark,Full caffeine,Female,,Doctorate or professional degree,Asian/Pacific Islander,,Employed full-time,None,Democrat
25-34 years old,Pourover,,,Fruity,Somewhat strong,Light,Full caffeine,Male,,Bachelor's degree,Asian/Pacific Islander,,Employed full-time,1,No affiliation
25-34 years old,Pourover,,,Chocolatey,Medium,Light,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,More than 3,Democrat
25-34 years old,Latte,Whole milk,,Chocolatey,Medium,Light,Full caffeine,Male,,Master's degree,Hispanic/Latino,,Student,None,No affiliation
25-34 years old,Espresso,,,Fruity,Very strong,Medium,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Democrat
45-54 years old,Regular drip coffee,,,Full Bodied,Somewhat strong,Italian,Full caffeine,,,,,,,,
35-44 years old,Pourover,,,Chocolatey,Somewhat strong,Medium,Full caffeine,Female,,Doctorate or professional degree,Asian/Pacific Islander,,Employed full-time,2,No affiliation
25-34 years old,Iced coffee,,,Bright,Medium,Light,Decaf,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,1,Independent
25-34 years old,Latte,Whole milk,,Full Bodied,Medium,Medium,Full caffeine,Male,,Master's degree,White/Caucasian,,Employed full-time,None,No affiliation
25-34 years old,Americano,,,Full Bodied,Somewhat strong,Light,Full caffeine,Male,,Bachelor's degree,Asian/Pacific Islander,,Employed full-time,None,Democrat
45-54 years old,Cappuccino,Coffee creamer,,Nutty,Somewhat strong,Medium,Decaf,Male,,Some college or associate's degree,White/Caucasian,,Employed full-time,2,Independent
25-34 years old,Pourover,,,Juicy,Somewhat strong,Light,Full caffeine,Male,,Some college or associate's degree,White/Caucasian,,Employed full-time,None,No affiliation
35-44 years old,Pourover,,,Fruity,Medium,Light,Full caffeine,Male,,Some college or associate's degree,White/Caucasian,,Employed full-time,None,Independent
25-34 years old,Cortado,"Whole milk, Oat milk",,Nutty,Somewhat strong,Medium,Full caffeine,Male,,Doctorate or professional degree,White/Caucasian,,Employed full-time,None,Independent
25-34 years old,Espresso,,,Floral,Medium,Light,Full caffeine,Male,,Bachelor's degree,Hispanic/Latino,,Employed full-time,1,Democrat
18-24 years old,Cold brew,Half and half,,Chocolatey,Somewhat strong,Medium,Full caffeine,Male,,Some college or associate's degree,Asian/Pacific Islander,,Student,None,No affiliation
25-34 years old,Pourover,,,Fruity,Medium,Light,Full caffeine,Male,,,,,,,
25-34 years old,Espresso,,,Full Bodied,Somewhat strong,Medium,Full caffeine,Male,,High school graduate,White/Caucasian,,Employed full-time,None,No affiliation
35-44 years old,Americano,,,Nutty,Very strong,Medium,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,2,Democrat
25-34 years old,Pourover,,,Fruity,Somewhat light,Light,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,More than 3,Independent
25-34 years old,Mocha,,Honey,Floral,Somewhat strong,Light,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Democrat
25-34 years old,Cappuccino,"Skim milk, Soy milk",,Chocolatey,Medium,Light,Full caffeine,Female,,Doctorate or professional degree,Asian/Pacific Islander,,Employed full-time,None,Democrat
18-24 years old,Latte,Whole milk,,Full Bodied,Somewhat strong,Medium,Full caffeine,Male,,Some college or associate's degree,White/Caucasian,,Employed full-time,None,Independent
25-34 years old,Latte,"Almond milk, Skim milk, Whole milk","Artificial Sweeteners (e.g., Splenda), Maple Syrup, Agave Nectar, Honey",Sweet,Medium,Medium,Full caffeine,Female,,Some college or associate's degree,White/Caucasian,,Employed part-time,None,Democrat
35-44 years old,Latte,Oat milk,,Nutty,Somewhat strong,Dark,Half caff,Female,,Master's degree,Other (please specify),mixed,Employed full-time,None,Democrat
35-44 years old,Espresso,Whole milk,,Fruity,Very strong,Light,Full caffeine,Male,,Doctorate or professional degree,Asian/Pacific Islander,,Employed full-time,3,Democrat
25-34 years old,Iced coffee,,,Fruity,Medium,Light,Full caffeine,Male,,Master's degree,White/Caucasian,,Student,None,Independent
25-34 years old,Regular drip coffee,,,Bold,Somewhat strong,Dark,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,No affiliation
25-34 years old,Espresso,,,Floral,Medium,Nordic,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Democrat
25-34 years old,Latte,Whole milk,,Chocolatey,Somewhat strong,Medium,Full caffeine,Male,,Bachelor's degree,Other (please specify),Mixed,Employed full-time,None,
35-44 years old,Cold brew,"Whole milk, Flavored coffee creamer",Maple Syrup,Caramalized,Somewhat strong,Medium,Full caffeine,Female,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Democrat
25-34 years old,Cortado,Whole milk,"Artificial Sweeteners (e.g., Splenda)",Chocolatey,Medium,Medium,Full caffeine,Male,,Master's degree,White/Caucasian,,Employed full-time,None,
25-34 years old,Espresso,,,Fruity,Very strong,Light,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Independent
25-34 years old,Americano,,,Sweet,Very strong,Light,Full caffeine,Male,,Doctorate or professional degree,White/Caucasian,,Employed full-time,1,Democrat
25-34 years old,Latte,"Whole milk, Flavored coffee creamer, Oat milk",,Caramalized,Weak,Medium,Decaf,Female,,Master's degree,White/Caucasian,,Employed full-time,None,No affiliation
35-44 years old,Cortado,,,Fruity,Somewhat strong,Light,Half caff,Male,,Doctorate or professional degree,White/Caucasian,,Employed full-time,2,No affiliation
25-34 years old,Pourover,Whole milk,,Fruity,Medium,Light,Full caffeine,Male,,Master's degree,White/Caucasian,,Employed full-time,1,Democrat
18-24 years old,Pourover,,,Fruity,Somewhat strong,Medium,Full caffeine,Male,,High school graduate,White/Caucasian,,Employed full-time,None,No affiliation
55-64 years old,Americano,,,Bright,Medium,French,Full caffeine,Male,,Some college or associate's degree,White/Caucasian,,Employed full-time,More than 3,Republican
25-34 years old,Americano,,,Full Bodied,Somewhat strong,Medium,Full caffeine,Male,,Bachelor's degree,Other (please specify),White and Hispanic,Employed full-time,None,Republican
35-44 years old,Pourover,,,Juicy,Somewhat strong,Light,Full caffeine,Male,,Bachelor's degree,Asian/Pacific Islander,,Employed full-time,None,Democrat
25-34 years old,Cold brew,"Whole milk, Half and half","Granulated Sugar, Raw Sugar (Turbinado)",Sweet,Somewhat strong,Medium,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Democrat
25-34 years old,Regular drip coffee,,,Caramalized,Medium,Medium,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Independent
25-34 years old,Cortado,,,Fruity,Somewhat strong,Medium,Full caffeine,Male,,Master's degree,White/Caucasian,,Employed full-time,None,Independent
35-44 years old,Cortado,Half and half,,Fruity,Medium,Blonde,Half caff,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,No affiliation
55-64 years old,Regular drip coffee,Whole milk,,Full Bodied,Very strong,Dark,Full caffeine,Male,,Master's degree,White/Caucasian,,Employed full-time,None,Independent
25-34 years old,Blended drink (e.g. Frappuccino),"Whole milk, Half and half, Coffee creamer","Maple Syrup, Artificial Sweeteners (e.g., Splenda), Granulated Sugar, Honey, Brown Sugar",Sweet,Weak,Italian,Decaf,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Democrat
25-34 years old,Mocha,,Granulated Sugar,Bright,Somewhat strong,Medium,Full caffeine,Non-binary,,High school graduate,White/Caucasian,,Employed part-time,None,No affiliation
35-44 years old,Iced coffee,Whole milk,,Nutty,Somewhat strong,Light,Full caffeine,Male,,Doctorate or professional degree,White/Caucasian,,Employed full-time,None,Democrat
45-54 years old,Espresso,,,Bright,Somewhat strong,Medium,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Democrat
35-44 years old,Pourover,,,Fruity,Medium,Light,Full caffeine,Male,,Some college or associate's degree,White/Caucasian,,Employed full-time,None,Democrat
25-34 years old,Pourover,,,Fruity,Somewhat strong,Light,Full caffeine,Non-binary,,Bachelor's degree,White/Caucasian,,Employed full-time,None,No affiliation
25-34 years old,Cappuccino,Oat milk,,Chocolatey,Somewhat strong,Medium,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Democrat
45-54 years old,Espresso,Almond milk,,Full Bodied,Medium,Light,Full caffeine,Female,,Some college or associate's degree,White/Caucasian,,Unemployed,None,Democrat
35-44 years old,Pourover,,,Fruity,Somewhat strong,Light,Full caffeine,Male,,Doctorate or professional degree,White/Caucasian,,Employed full-time,2,Democrat
25-34 years old,Regular drip coffee,"Half and half, Whole milk, Almond milk",,Fruity,Somewhat strong,Light,Full caffeine,Prefer not to say,,,,,,,
25-34 years old,Latte,,,Chocolatey,Medium,Medium,Full caffeine,,,,,,,,
25-34 years old,Pourover,,,Full Bodied,Somewhat strong,Medium,Full caffeine,Male,,Bachelor's degree,Hispanic/Latino,,Student,None,No affiliation
25-34 years old,Espresso,"Whole milk, Oat milk",Raw Sugar (Turbinado),Caramalized,Somewhat strong,Medium,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,1,Democrat
>65 years old,Regular drip coffee,,,Full Bodied,Very strong,French,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Retired,More than 3,Republican
25-34 years old,Regular drip coffee,,,Bright,Somewhat strong,Light,Full caffeine,,,,,,,,
35-44 years old,Iced coffee,,,Full Bodied,Somewhat strong,Medium,Full caffeine,Male,,Master's degree,Asian/Pacific Islander,,Employed full-time,None,No affiliation
25-34 years old,Regular drip coffee,,,Full Bodied,Medium,Medium,Full caffeine,Male,,Master's degree,White/Caucasian,,Employed full-time,None,Democrat
25-34 years old,Regular drip coffee,,,Fruity,Somewhat strong,Light,Full caffeine,Male,,Master's degree,White/Caucasian,,Student,None,Republican
18-24 years old,Cortado,,,Juicy,Medium,Light,Full caffeine,Female,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Independent
25-34 years old,Americano,,,Fruity,Medium,Light,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,No affiliation
25-34 years old,Mocha,Whole milk,,Chocolatey,Medium,Dark,Full caffeine,Female,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Republican
25-34 years old,Pourover,Skim milk,,Chocolatey,Somewhat strong,Medium,Decaf,Female,,Doctorate or professional degree,White/Caucasian,,Employed full-time,None,Democrat
18-24 years old,Mocha,,Granulated Sugar,Sweet,Medium,Medium,Full caffeine,Male,,Some college or associate's degree,White/Caucasian,,Employed full-time,None,Democrat
25-34 years old,Other,"Flavored coffee creamer, Coffee creamer",Granulated Sugar,Sweet,Medium,Dark,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Democrat
35-44 years old,Latte,,,Bright,Somewhat strong,Light,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed part-time,None,Democrat
25-34 years old,Latte,Coffee creamer,,Nutty,Very strong,Medium,Full caffeine,Female,,Bachelor's degree,White/Caucasian,,Employed full-time,None,No affiliation
25-34 years old,Cortado,Oat milk,,Fruity,Medium,Light,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,1,No affiliation
25-34 years old,Pourover,,,Fruity,Somewhat strong,Light,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Democrat
35-44 years old,Regular drip coffee,,,Juicy,Medium,Light,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Democrat
25-34 years old,Cappuccino,,,Juicy,Somewhat strong,Light,Half caff,Male,,Doctorate or professional degree,White/Caucasian,,Employed full-time,None,Independent
25-34 years old,Espresso,,,Fruity,Somewhat strong,Light,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,2,No affiliation
35-44 years old,Other,,,Fruity,Somewhat strong,Light,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Democrat
25-34 years old,Pourover,,,Fruity,Medium,Medium,Full caffeine,Male,,Master's degree,White/Caucasian,Korean,Employed full-time,None,No affiliation
25-34 years old,Latte,Half and half,,Nutty,Somewhat strong,Medium,Full caffeine,Female,,Some college or associate's degree,Asian/Pacific Islander,,Employed full-time,None,Democrat
35-44 years old,Iced coffee,Flavored coffee creamer,,Fruity,Medium,Medium,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,3,Democrat
25-34 years old,Pourover,,,Sweet,Medium,Nordic,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Democrat
35-44 years old,Latte,Oat milk,,Chocolatey,Medium,Medium,Decaf,Female,,Master's degree,Other (please specify),White and latina,Employed full-time,None,Democrat
35-44 years old,Espresso,,,Fruity,Very strong,Light,Full caffeine,Male,,Doctorate or professional degree,White/Caucasian,,Employed full-time,2,No affiliation
25-34 years old,Latte,,,Fruity,Somewhat strong,Light,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,No affiliation
35-44 years old,Pourover,,,Juicy,Medium,Light,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Democrat
25-34 years old,Regular drip coffee,,,Bright,Medium,Light,Full caffeine,Male,,Master's degree,White/Caucasian,,Employed part-time,None,Democrat
25-34 years old,Iced coffee,"Flavored coffee creamer, Oat milk, Coffee creamer, Half and half, Whole milk, Soy milk","Artificial Sweeteners (e.g., Splenda), Granulated Sugar",Chocolatey,Somewhat strong,Medium,Full caffeine,Male,,Master's degree,White/Caucasian,,Employed full-time,None,Democrat
18-24 years old,Regular drip coffee,,,Chocolatey,Very strong,Dark,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Democrat
25-34 years old,Pourover,,,Fruity,Medium,Light,Full caffeine,Male,,Master's degree,White/Caucasian,,Employed full-time,None,No affiliation
35-44 years old,Pourover,,,Fruity,Very strong,Light,Full caffeine,,,,,,,,
25-34 years old,Cortado,"Oat milk, Whole milk",,Bright,Somewhat strong,Light,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Democrat
25-34 years old,Pourover,Whole milk,,Caramalized,Somewhat strong,Medium,Full caffeine,Female,,Bachelor's degree,Asian/Pacific Islander,,Employed full-time,None,Democrat
25-34 years old,Americano,,,Fruity,Very strong,Light,Full caffeine,Male,,Some college or associate's degree,White/Caucasian,,Employed full-time,None,Democrat
25-34 years old,Cappuccino,"Whole milk, Skim milk, Oat milk, Soy milk",,Nutty,Somewhat strong,Medium,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,
25-34 years old,Regular drip coffee,,,Floral,Somewhat strong,Light,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,No affiliation
18-24 years old,Latte,Whole milk,,Full Bodied,Somewhat strong,Light,Full caffeine,Male,,Bachelor's degree,Asian/Pacific Islander,,Unemployed,None,No affiliation
25-34 years old,Cortado,,,Full Bodied,Medium,Medium,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,No affiliation
18-24 years old,Americano,"Coffee creamer, Flavored coffee creamer, Whole milk","Granulated Sugar, Brown Sugar, Artificial Sweeteners (e.g., Splenda), Raw Sugar (Turbinado), Stevia",Caramalized,Somewhat strong,Medium,Full caffeine,Male,,Bachelor's degree,Hispanic/Latino,,Employed full-time,None,Democrat
25-34 years old,Cappuccino,Oat milk,,Chocolatey,Somewhat strong,Medium,Full caffeine,Female,,Bachelor's degree,White/Caucasian,,Student,None,Democrat
18-24 years old,Blended drink (e.g. Frappuccino),"Half and half, Whole milk",Granulated Sugar,Sweet,Somewhat light,Medium,Full caffeine,Non-binary,,Bachelor's degree,Asian/Pacific Islander,,Student,None,Democrat
35-44 years old,Pourover,"Coffee creamer, Oat milk","Stevia, Artificial Sweeteners (e.g., Splenda)",Bright,Medium,Light,Full caffeine,Male,,Master's degree,White/Caucasian,,Employed full-time,None,Democrat
25-34 years old,Cappuccino,,,Fruity,Somewhat strong,Light,Full caffeine,Female,,Bachelor's degree,Asian/Pacific Islander,,Employed full-time,None,Democrat
25-34 years old,Pourover,,,Fruity,Medium,Medium,Decaf,Male,,Bachelor's degree,Asian/Pacific Islander,,Employed full-time,None,No affiliation
25-34 years old,Mocha,Oat milk,,Sweet,Somewhat strong,Light,Full caffeine,Male,,Master's degree,,,Employed full-time,None,Democrat
35-44 years old,Cappuccino,Whole milk,,Nutty,Medium,Medium,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Democrat
35-44 years old,Espresso,,,Floral,Medium,Medium,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Democrat
25-34 years old,Latte,Half and half,,Full Bodied,Medium,Medium,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Democrat
25-34 years old,Latte,"Whole milk, Oat milk",,Chocolatey,Medium,Dark,Full caffeine,,,,,,,,
45-54 years old,Pourover,Half and half,,Full Bodied,Somewhat strong,Dark,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,2,No affiliation
25-34 years old,Latte,Oat milk,,Bright,Medium,Light,Full caffeine,Male,,Master's degree,Asian/Pacific Islander,,Employed full-time,None,Democrat
35-44 years old,Pourover,,,Sweet,Somewhat strong,Light,Full caffeine,Male,,Some college or associate's degree,White/Caucasian,,Employed full-time,2,Independent
18-24 years old,Latte,"Whole milk, Skim milk",,Fruity,Medium,Light,Full caffeine,Male,,Some college or associate's degree,Hispanic/Latino,,Employed part-time,None,Democrat
45-54 years old,Pourover,,,Fruity,Somewhat strong,Medium,Full caffeine,Male,,Bachelor's degree,Other (please specify),Asian/White,Employed full-time,1,Democrat
<18 years old,Espresso,,,Fruity,Somewhat strong,Light,Decaf,Male,,Less than high school,White/Caucasian,,Unemployed,None,No affiliation
18-24 years old,Espresso,Oat milk,,Bright,Somewhat strong,Light,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Unemployed,None,Democrat
45-54 years old,Mocha,,,Chocolatey,Somewhat strong,Medium,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,2,Republican
25-34 years old,Cortado,"Whole milk, Half and half, Almond milk",,Nutty,Somewhat strong,Medium,Half caff,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Independent
55-64 years old,Latte,Coffee creamer,,Full Bodied,Somewhat strong,Dark,Full caffeine,Female,,Some college or associate's degree,White/Caucasian,,Employed full-time,1,
25-34 years old,Pourover,,,Fruity,Somewhat light,Light,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Democrat
